epoch,train_loss,val_loss
1,0.67964683,0.61347239
2,0.59162815,0.59070673
3,0.56381702,0.58907765
4,0.55704070,0.59405361
5,0.54777553,0.58259866
6,0.54047137,0.57976440
7,0.53411966,0.56921812
8,0.52826354,0.57898530
9,0.52911625,0.57426786
10,0.52500632,0.58154125
11,0.52518562,0.57411109
12,0.52000901,0.56659458
13,0.51716378,0.57057928
14,0.51357361,0.56532495
15,0.51024369,0.56815694
16,0.50923478,0.55680079
17,0.50739934,0.56253808
18,0.50269650,0.56724530
19,0.50135082,0.54446292
20,0.49929279,0.54792119
21,0.49445452,0.54491789
22,0.49228848,0.54770101
23,0.49334789,0.55116250
24,0.48823105,0.55530299
25,0.48918780,0.53502337
26,0.48330354,0.54253851
27,0.48467844,0.53730624
28,0.47558465,0.60777278
29,0.50044948,0.53884504
30,0.47558075,0.52463421
31,0.47758272,0.53414895
32,0.47394353,0.53555743
33,0.46893054,0.53748657
34,0.47282983,0.52013731
35,0.46953889,0.50549209
36,0.45945060,0.53183451
37,0.45699567,0.52551134
38,0.45650205,0.51463023
39,0.45110466,0.52801107
40,0.44766002,0.50708050
41,0.44031912,0.53446003
42,0.43836265,0.53000520
43,0.46000549,0.51602283
44,0.44796186,0.52089014
45,0.44392730,0.56015115
46,0.43252542,0.51458238
47,0.43348432,0.52710869
48,0.41911583,0.51065326
49,0.41643713,0.52283130
50,0.41667854,0.53314714
51,0.41594764,0.51529625
52,0.41434266,0.49602322
53,0.40063381,0.53999129
54,0.42006530,0.49344254
55,0.39755309,0.53004631
56,0.40537917,0.50567891
57,0.40640995,0.50303540
58,0.38867436,0.52054187
59,0.37755104,0.51486084
60,0.37473113,0.49425121
61,0.39917290,0.50211753
62,0.37574474,0.50219472
63,0.36834610,0.50975369
64,0.37013318,0.53707238
65,0.38620556,0.51390064
66,0.36753812,0.52534166
67,0.36631683,0.49229346
68,0.36150632,0.56365354
69,0.40973987,0.48648346
70,0.36265027,0.49172672
71,0.35635659,0.52060577
72,0.34139058,0.52580315
73,0.34905956,0.45753723
74,0.34559123,0.54246727
75,0.34264681,0.42504047
76,0.33323244,0.49588561
77,0.33440539,0.50054104
78,0.32787745,0.44335711
79,0.40509639,0.48540223
80,0.36987854,0.48881588
81,0.35434065,0.51213135
82,0.33325430,0.44501818
83,0.34457254,0.48392294
84,0.31558801,0.46903473
85,0.31809602,0.38838195
86,0.32500133,0.50579292
87,0.33557871,0.46911623
88,0.33323251,0.51782930
89,0.36046552,0.57682252
90,0.35614780,0.48939182
91,0.32775941,0.55394368
92,0.30526444,0.50291339
93,0.30548848,0.54498595
94,0.30241200,0.50798454
95,0.31290366,0.55114698
96,0.32166849,0.51966441
97,0.32026051,0.50487746
98,0.30693673,0.44501020
99,0.30543229,0.41383497
100,0.32024967,0.56296733
101,0.41479789,0.52892045
102,0.35506268,0.44787774
103,0.31754422,0.53073926
104,0.30586820,0.41905650
105,0.32075456,0.54915305
106,0.31630195,0.52433644
107,0.31250360,0.45289275
108,0.31642074,0.56498467
109,0.30666170,0.50732249
110,0.30061088,0.55435008
111,0.28817902,0.49452491
112,0.32542417,0.43348788
113,0.36285477,0.54790091
114,0.30854469,0.48906282
115,0.29298828,0.45444257
116,0.29126144,0.41299007
117,0.28951450,0.51584995
118,0.31865887,0.50592829
119,0.29611030,0.42036885
120,0.28604396,0.51849474
121,0.29405574,0.44179430
122,0.29143586,0.49793133
123,0.28638742,0.48182834
124,0.28474916,0.52724022
125,0.28556152,0.52789356
126,0.28969632,0.42656615
127,0.32588907,0.50458814
128,0.28154959,0.47345470
129,0.27656885,0.46785910
130,0.27933576,0.43384648
131,0.26345136,0.43062930
132,0.27827336,0.53013071
133,0.26562876,0.48129181
134,0.31591181,0.57668698
135,0.34824514,0.48953848
136,0.30595287,0.56369451
137,0.32327158,0.47110435
138,0.27710956,0.53936721
139,0.26321708,0.48778489
140,0.25793026,0.55116393
141,0.25624633,0.56165122
142,0.25585146,0.58453134
143,0.25956107,0.45400123
144,0.26616236,0.58443354
145,0.29245799,0.51860831
146,0.30513337,0.51710181
147,0.27389326,0.54541681
148,0.26227164,0.44643982
149,0.25602393,0.55494427
150,0.25474166,0.45827046
