epoch,train_loss,val_loss
1,1.49674578,1.28724062
2,1.25831826,1.15064725
3,1.15818868,1.08471501
4,1.09223587,1.04143634
5,1.04281697,0.99079795
6,1.00166442,0.95959435
7,0.96962117,0.92035897
8,0.93807914,0.89573355
9,0.91481490,0.87663734
10,0.89210047,0.85589293
11,0.87573834,0.84264944
12,0.86162464,0.82459493
13,0.84361684,0.82250047
14,0.83512717,0.80456415
15,0.83126499,0.79251604
16,0.81696842,0.79002735
17,0.80908638,0.78093712
18,0.79410432,0.78046030
19,0.78905800,0.78087017
20,0.78720935,0.77345997
21,0.78423441,0.75870249
22,0.77202293,0.76869458
23,0.76851866,0.76575142
24,0.76124368,0.76439975
25,0.75729087,0.75572711
26,0.75009836,0.77239013
27,0.75513380,0.74552529
28,0.74488786,0.75811148
29,0.73635955,0.75500821
30,0.73451923,0.73763680
31,0.73893980,0.74005747
32,0.72566687,0.75613829
33,0.72492945,0.74860954
34,0.72965954,0.75944050
35,0.72021124,0.75849335
36,0.71312508,0.75084260
37,0.70201551,0.76051739
38,0.70851481,0.75904277
39,0.70008400,0.75710842
40,0.70082014,0.74637997
41,0.68770961,0.74945852
42,0.69030417,0.73367898
43,0.69011052,0.75575031
44,0.68343693,0.72705548
45,0.68651249,0.75599284
46,0.67949465,0.74563406
47,0.69278097,0.72419605
48,0.69639418,0.74111514
49,0.67251318,0.74922541
50,0.66469231,0.74067874
51,0.66705072,0.73672140
52,0.65562732,0.73798032
53,0.65696865,0.75261727
54,0.66557923,0.74214371
55,0.65883873,0.75957058
56,0.68585226,0.73296694
57,0.66030405,0.69126269
58,0.65726335,0.72648169
59,0.64237485,0.74749599
60,0.64105935,0.72835748
61,0.64444155,0.77608599
62,0.64369261,0.73652260
63,0.63374492,0.75158729
64,0.64314440,0.76118581
65,0.63148684,0.75808248
66,0.64773497,0.74515750
67,0.63114172,0.72856382
68,0.62474128,0.75024237
69,0.61775476,0.75408269
70,0.62649110,0.76122634
71,0.61873850,0.77194999
72,0.62107728,0.76962706
73,0.63016353,0.75081627
74,0.63439934,0.76666406
75,0.60832612,0.75227129
76,0.60265413,0.73365526
77,0.60722026,0.80133721
78,0.62897954,0.78313804
79,0.60804015,0.76601823
80,0.60680502,0.74682635
81,0.59206859,0.75925389
82,0.59495074,0.74933460
83,0.60073033,0.74446404
84,0.60418063,0.76575685
85,0.61474888,0.74741019
86,0.62578094,0.74396914
87,0.62200903,0.77681671
88,0.58807956,0.77917032
89,0.59593956,0.76540710
90,0.57512438,0.74710913
91,0.56521014,0.78758849
92,0.57340608,0.79779494
93,0.56824091,0.79646520
94,0.55899242,0.81644282
95,0.57087369,0.72674385
96,0.57834035,0.77167751
97,0.58066258,0.74306476
98,0.57311187,0.76687978
99,0.56523926,0.72002004
100,0.55603183,0.75550579
101,0.56979983,0.80403747
102,0.56520993,0.76346433
103,0.56971455,0.71207011
104,0.57074756,0.76750778
105,0.57242947,0.74315706
106,0.56791908,0.77132303
107,0.55537345,0.80829836
108,0.54858265,0.81545088
109,0.54974812,0.84196940
110,0.55023212,0.78116296
111,0.55281071,0.81232381
112,0.55695039,0.81283401
113,0.53847091,0.81474859
114,0.54410948,0.82335863
115,0.55167070,0.80355404
116,0.54213455,0.83825730
117,0.54215185,0.80830692
118,0.55112080,0.78773892
119,0.54657157,0.70895885
120,0.53446659,0.83370797
121,0.54230883,0.78632163
122,0.53662360,0.83397414
123,0.52907777,0.85589288
124,0.53132625,0.81807494
125,0.54954732,0.77409466
126,0.53016729,0.78624794
127,0.52381220,0.81610502
128,0.53470390,0.79347146
129,0.52839211,0.73438671
130,0.53190595,0.81102669
131,0.52486026,0.79924367
132,0.52913075,0.79906377
133,0.52966934,0.78745334
134,0.54052010,0.80973247
135,0.53030299,0.74258794
136,0.52700986,0.81238106
137,0.51776346,0.81220712
138,0.52137164,0.76442032
139,0.52472192,0.79542932
140,0.51794428,0.81491262
141,0.54002555,0.78623988
142,0.54473360,0.68137676
143,0.56953829,0.82988256
144,0.54145653,0.77483860
145,0.57016863,0.78473511
146,0.53602911,0.80374959
147,0.52688819,0.82334177
148,0.52007207,0.73488721
149,0.51493047,0.82300363
150,0.52641230,0.84313765
