epoch,train_loss,val_loss
1,1.28073370,1.29840350
2,1.15667853,1.20057917
3,1.06480597,1.10327703
4,1.03047518,1.10711336
5,0.98942376,1.05538446
6,0.96219356,1.05577546
7,0.94856124,0.99838674
8,0.93337759,0.99870157
9,0.91985903,1.02883124
10,0.90678421,0.96643603
11,0.89827618,0.99366039
12,0.88581738,0.96066570
13,0.88670151,0.91414934
14,0.87360978,0.93733230
15,0.87197556,0.99879342
16,0.85867691,0.93975931
17,0.84835001,0.90859187
18,0.84933325,0.96856564
19,0.83839551,0.98098883
20,0.83093964,1.00537896
21,0.83689126,0.92081672
22,0.82275810,0.88629991
23,0.82381484,0.94167966
24,0.82578402,1.03940481
25,0.81694258,0.99313873
26,0.80176664,0.93015087
27,0.78446243,0.94439304
28,0.80255397,0.97184125
29,0.78193498,0.98423800
30,0.77937865,0.93019128
31,0.79122582,0.95600975
32,0.77885781,1.03827149
33,0.77662725,0.90067711
34,0.78046600,0.91162980
35,0.74998295,0.92471480
36,0.74631632,1.03650987
37,0.76190113,0.95163691
38,0.74709022,0.91241068
39,0.72047709,0.98635632
40,0.73018804,1.02493471
41,0.71632862,0.92401004
42,0.72247661,0.98594227
43,0.72489026,1.03107774
44,0.72265997,0.91997135
45,0.74475215,0.94942373
46,0.70318555,0.91075662
47,0.72416223,0.91217011
48,0.72767977,1.01139089
49,0.70373572,0.94267386
50,0.67875487,0.96300533
51,0.67307724,0.91804510
52,0.66713739,0.99467134
53,0.71633783,0.86308888
54,0.69492661,0.86988419
55,0.68895189,0.87261006
56,0.67148410,0.93002462
57,0.65889567,0.92488658
58,0.63816741,0.91652241
59,0.64366388,0.91725236
60,0.69099654,0.84235269
61,0.65280000,0.88213623
62,0.63536714,1.00748897
63,0.63291119,1.11269665
64,0.60617035,0.93902576
65,0.59613229,0.94046721
66,0.57717842,0.97025275
67,0.62459833,0.93292260
68,0.62056444,1.05055416
69,0.63431624,0.88010746
70,0.71789795,1.01458848
71,0.61160176,1.03291196
72,0.58051351,0.95112193
73,0.58392578,1.07254118
74,0.56832222,1.00405619
75,0.55670678,1.15451336
76,0.52771050,1.00642467
77,0.50726679,1.01050776
78,0.50572991,0.94639447
79,0.50281522,0.97792575
80,0.51731868,1.10592917
81,0.56516342,1.05485398
82,0.50006038,1.00522390
83,0.47817940,1.01835722
84,0.46967926,1.06861144
85,0.51101925,1.22857726
86,0.54748348,1.07452708
87,0.48192249,1.03364855
88,0.46711432,0.99063861
89,0.46320264,1.01169842
90,0.42941050,1.05540246
91,0.43219101,1.07116139
92,0.44636483,1.17538923
93,0.46235012,1.14917094
94,0.42469793,1.08401942
95,0.41876146,1.17375517
96,0.45488441,1.17921776
97,0.58858347,1.17426455
98,0.65263585,0.98006082
99,0.56504752,1.03650415
100,0.47359857,1.14018589
101,0.48058691,1.13972837
102,0.41597292,1.17357400
103,0.40171285,1.13918781
104,0.41580738,1.15334225
105,0.41972255,1.09783137
106,0.43277298,1.05808604
107,0.39074793,1.13320863
108,0.38364976,1.20735028
109,0.36656166,1.23231047
110,0.35830221,1.18994635
111,0.35208107,1.26475030
112,0.37393941,1.14302588
113,0.38635554,1.19487274
114,0.34490005,1.20709455
115,0.35725641,1.17171526
116,0.37734764,1.27857119
117,0.44684447,1.18838537
118,0.69011429,1.15985492
119,0.49673488,1.23061121
120,0.44517046,1.28738129
121,0.42305023,1.28035885
122,0.46429914,1.38680673
123,0.41342187,1.26090768
124,0.35224610,1.19609916
125,0.32821890,1.21272612
126,0.31792266,1.27205974
127,0.30180371,1.30110738
128,0.31899611,1.26894450
129,0.31898511,1.29476160
130,0.30296290,1.23719889
131,0.30525513,1.28591472
132,0.31692227,1.37784830
133,0.29907730,1.25052732
134,0.29086991,1.25132108
135,0.29230179,1.26927993
136,0.26781077,1.25683326
137,0.27616794,1.16326493
138,0.27895315,1.33634484
139,0.28961455,1.35014290
140,0.28254490,1.33283544
141,0.27751916,1.36407971
142,0.27227388,1.32297906
143,0.32015414,1.21946901
144,0.27920681,1.31626409
145,0.28216022,1.32633358
146,0.28137078,1.31670776
147,0.29101491,1.25648642
148,0.28188735,1.34061474
149,0.25104242,1.32127923
150,0.25929296,1.19293275
