epoch,train_loss,val_loss
1,1.22626779,1.18305527
2,1.16026354,1.14777240
3,1.13046879,1.12636017
4,1.14478929,1.12109360
5,1.10893854,1.09930962
6,1.09705812,1.09835564
7,1.08654156,1.08663604
8,1.07160580,1.10752900
9,1.06171531,1.05631235
10,1.04873292,1.09943040
11,1.04316093,1.14176724
12,1.04418614,1.07567148
13,1.02140835,1.10368495
14,1.01338251,1.01760089
15,1.00535862,1.04978351
16,0.99473529,1.00990972
17,0.98841490,1.02065488
18,0.99057224,1.03581011
19,0.97591105,0.97314750
20,0.96313999,0.95220805
21,0.96433854,1.05689744
22,0.95583046,1.00366353
23,0.96026165,0.98062669
24,0.94566696,0.98630463
25,0.94280181,1.06093332
26,0.93086210,0.91604586
27,0.92653888,0.97783343
28,0.93058099,0.91012886
29,0.89812099,0.92390383
30,0.90964982,0.96678514
31,0.90391340,0.96953162
32,0.91775990,0.97632675
33,0.88704963,1.04301249
34,0.87981635,1.06061824
35,0.87992386,1.01637503
36,0.87605625,1.03241115
37,0.86276939,1.11542784
38,0.87852539,0.93948694
39,0.89089812,0.94809167
40,0.85459078,0.91256219
41,0.85557494,0.89273700
42,0.84731882,0.91331511
43,0.84492106,0.88661580
44,0.88022249,0.88425080
45,0.83981954,0.90071707
46,0.83561395,0.86747543
47,0.82776122,0.83759109
48,0.85613433,0.83669467
49,0.84488714,0.95835320
50,0.83623197,0.97782977
51,0.81187535,0.99834578
52,0.80997096,0.92640724
53,0.82188347,0.92877063
54,0.79840868,0.82929411
55,0.78814745,0.94600615
56,0.80845774,0.84113157
57,0.80057796,0.95439457
58,0.81220763,0.92406531
59,0.79367388,0.84645705
60,0.80726262,0.91052143
61,0.80500922,0.82913850
62,0.79407664,0.96145326
63,0.79766605,0.97177864
64,0.78938884,0.85697772
65,0.79263417,0.94940180
66,0.78975023,1.11993903
67,0.74577000,1.00298276
68,0.76302671,0.90479492
69,0.74319650,0.99374615
70,0.75943174,0.90038271
71,0.77352276,0.95360328
72,0.73384834,0.90896532
73,0.74370515,0.87907416
74,0.73356311,0.97124607
75,0.75752926,1.15674855
76,0.73682760,0.94670235
77,0.74270729,0.91013425
78,0.73660179,0.98737423
79,0.72475121,1.06282490
80,0.75311864,0.89482230
81,0.74162761,0.95584522
82,0.71822743,0.96024666
83,0.73217015,0.94454016
84,0.74242223,0.89444789
85,0.69350407,1.02618433
86,0.69030829,1.16402646
87,0.71258740,1.19364382
88,0.72753110,0.84621941
89,0.68431231,1.00528571
90,0.68230128,0.96676403
91,0.70199007,0.93633615
92,0.69775792,1.05652164
93,0.68548372,0.90916233
94,0.69104558,1.01672897
95,0.72011321,1.03380520
96,0.67819391,1.07192438
97,0.68629254,1.03814057
98,0.70603886,0.87314038
99,0.66714766,1.00273448
100,0.66977704,0.92847718
101,0.65498802,1.02088162
102,0.66273046,0.97697661
103,0.66686382,0.95918767
104,0.66888941,0.93353071
105,0.65153809,1.08834968
106,0.67769146,0.92221272
107,0.67763072,1.06906183
108,0.63243438,0.91199584
109,0.65384175,0.96118837
110,0.64877438,0.95611249
111,0.64622152,1.13885189
112,0.67034632,1.23342021
113,0.62950415,0.98600538
114,0.63269597,0.96211018
115,0.63652380,1.18026489
116,0.65872521,0.97313557
117,0.61321972,1.17118516
118,0.62173055,0.91500982
119,0.68961042,1.00847480
120,0.62639553,1.04697509
121,0.62526782,1.19437894
122,0.59934371,0.98234808
123,0.60038764,1.21968133
124,0.64086152,1.17023479
125,0.61722323,1.07062802
126,0.60307517,1.10606357
127,0.63711960,0.97954111
128,0.61672884,1.29907279
129,0.62265056,1.14775432
130,0.62323564,1.00248493
131,0.61772600,1.01636945
132,0.58968425,1.08853352
133,0.58457224,1.06844449
134,0.58762654,1.19873235
135,0.62057502,1.17933749
136,0.59278379,1.20729153
137,0.60038482,1.04671689
138,0.65576094,0.92520642
139,0.59181498,1.36693424
140,0.58772005,1.04322297
141,0.58493509,1.11456028
142,0.59731351,1.03967686
143,0.57341026,1.02000982
144,0.56492664,1.08089292
145,0.56931032,1.00401978
146,0.62203544,1.08257722
147,0.56683345,1.10226101
148,0.56050262,1.04081981
149,0.54763623,1.20249030
150,0.57303229,1.20457194
